tau,alpha_target,magnetization
100.0,0.850,0.057516
100.0,0.850,-0.152095
100.0,0.850,-0.288352
100.0,0.850,-0.004187
100.0,0.850,-0.120859
100.0,0.850,0.116183
100.0,0.850,0.081377
100.0,0.850,-0.037557
100.0,0.850,-0.157858
100.0,0.850,-0.204829
100.0,0.903,0.075549
100.0,0.903,0.011556
100.0,0.903,-0.568304
100.0,0.903,-0.147827
100.0,0.903,-0.495855
100.0,0.903,-0.276881
100.0,0.903,-0.211317
100.0,0.903,-0.226244
100.0,0.903,0.221051
100.0,0.903,-0.153420
100.0,0.903,0.002656
100.0,0.903,-0.073709
100.0,0.903,0.062428
100.0,0.903,-0.072037
100.0,0.903,-0.206337
100.0,0.903,-0.044386
100.0,0.903,-0.279170
100.0,0.903,-0.125474
100.0,0.903,0.044693
100.0,0.903,-0.280905
100.0,0.903,-0.393286
100.0,0.903,-0.040927
100.0,0.903,-0.094877
100.0,0.903,-0.452517
100.0,0.903,-0.225251
100.0,0.903,-0.373051
100.0,0.903,-0.123218
100.0,0.903,-0.516542
100.0,0.903,-0.112525
100.0,0.903,-0.029606
100.0,0.903,-0.224031
100.0,0.903,-0.304936
100.0,0.903,-0.612568
100.0,0.903,-0.240323
100.0,0.903,0.004218
100.0,0.903,-0.383219
100.0,0.903,-0.303830
100.0,0.903,-0.210631
100.0,0.903,-0.054303
100.0,0.903,-0.305352
100.0,0.903,-0.269006
100.0,0.903,-0.107170
100.0,0.903,0.068486
100.0,0.903,-0.508972
100.0,0.903,-0.336072
100.0,0.903,-0.046563
100.0,0.903,-0.170444
100.0,0.903,-0.369153
100.0,0.903,-0.301889
100.0,0.903,-0.260450
100.0,0.903,-0.206249
100.0,0.903,-0.241164
100.0,0.903,-0.568230
100.0,0.903,-0.156585
100.0,0.903,-0.196793
100.0,0.903,-0.082412
100.0,0.903,0.106512
100.0,0.903,-0.074477
100.0,0.903,-0.411216
100.0,0.903,-0.176867
100.0,0.903,-0.348575
100.0,0.903,-0.150485
100.0,0.903,-0.467083
100.0,0.903,-0.359776
100.0,0.903,-0.153419
100.0,0.903,-0.138701
100.0,0.903,-0.444882
100.0,0.903,-0.161790
100.0,0.903,-0.050968
100.0,0.903,-0.235833
100.0,0.903,-0.108273
100.0,0.903,-0.342084
100.0,0.903,-0.131702
100.0,0.903,-0.362617
100.0,0.903,-0.255576
100.0,0.903,-0.309210
100.0,0.903,-0.177195
100.0,0.903,-0.133385
100.0,0.903,-0.089025
100.0,0.903,-0.112410
100.0,0.903,-0.110508
100.0,0.903,-0.342072
100.0,0.903,-0.119142
100.0,0.903,-0.201553
100.0,0.903,-0.353281
100.0,0.903,0.091293
100.0,0.903,-0.195793
100.0,0.903,-0.180853
100.0,0.903,-0.091446
100.0,0.903,-0.019701
100.0,0.903,-0.314685
100.0,0.903,-0.190978
100.0,0.903,-0.283374
100.0,0.903,-0.176130
100.0,0.903,-0.207810
100.0,0.903,-0.358943
100.0,0.903,-0.169362
100.0,0.903,-0.254329
100.0,0.903,-0.400156
100.0,0.903,-0.311194
100.0,0.950,-0.534042
100.0,0.950,-0.285581
100.0,0.950,-0.860707
100.0,0.950,-0.829711
100.0,0.950,-0.916317
100.0,0.950,-0.251020
100.0,0.950,-0.607983
100.0,0.950,-0.817860
100.0,0.950,-0.881347
100.0,0.950,-0.882914
100.0,0.950,-0.703371
100.0,0.950,0.219581
100.0,0.950,-0.663951
100.0,0.950,-0.840488
100.0,0.950,-0.784841
100.0,0.950,-0.475263
100.0,0.950,-0.821559
100.0,0.950,-0.741730
100.0,0.950,-0.370674
100.0,0.950,-0.678246
100.0,0.950,-0.900589
100.0,0.950,-0.704243
100.0,0.950,-0.746013
100.0,0.950,-0.709479
100.0,0.950,-0.846395
100.0,0.950,-0.810621
100.0,0.950,-0.346032
100.0,0.950,-0.659163
100.0,0.950,-0.585540
100.0,0.950,-0.791359
100.0,0.950,-0.859842
100.0,0.950,-0.601056
100.0,0.950,-0.904001
100.0,0.950,-0.852455
100.0,0.950,-0.544446
100.0,0.950,-0.604704
100.0,0.950,-0.561065
100.0,0.950,-0.810888
100.0,0.950,-0.482925
100.0,0.950,-0.703569
100.0,0.950,-0.711691
100.0,0.950,-0.725966
100.0,0.950,-0.797694
100.0,0.950,-0.823832
100.0,0.950,-0.776083
100.0,0.950,-0.730425
100.0,0.950,-0.771288
100.0,0.950,-0.595989
100.0,0.950,-0.651543
100.0,0.950,-0.450524
100.0,0.950,-0.754328
100.0,0.950,-0.624820
100.0,0.950,-0.647527
100.0,0.950,-0.823662
100.0,0.950,-0.466262
100.0,0.950,-0.703682
100.0,0.950,-0.211331
100.0,0.950,-0.853619
100.0,0.950,-0.653747
100.0,0.950,-0.500528
100.0,0.950,-0.563779
100.0,0.950,-0.835917
100.0,0.950,-0.812039
100.0,0.950,-0.873357
100.0,0.950,-0.921126
100.0,0.950,-0.868806
100.0,0.950,-0.910298
100.0,0.950,-0.797825
100.0,0.950,-0.839798
100.0,0.950,-0.558441
100.0,0.950,-0.717177
100.0,0.950,-0.812154
100.0,0.950,-0.785916
100.0,0.950,-0.744057
100.0,0.950,-0.667956
100.0,0.950,-0.882815
100.0,0.950,-0.756351
100.0,0.950,-0.300844
100.0,0.950,-0.638967
100.0,0.950,-0.777402
100.0,0.950,-0.858711
100.0,0.950,-0.921492
100.0,0.950,-0.918700
100.0,0.950,-0.834141
100.0,0.950,-0.833657
100.0,0.950,-0.881394
100.0,0.950,-0.786689
100.0,0.950,-0.814333
100.0,0.950,-0.268931
100.0,0.950,-0.816710
100.0,0.950,-0.625372
100.0,0.950,-0.740203
100.0,0.950,-0.822742
100.0,0.950,-0.885853
100.0,0.950,-0.792778
100.0,0.950,-0.769631
100.0,0.950,-0.826477
100.0,0.950,-0.418566
100.0,0.950,-0.634548
100.0,0.950,-0.488107
100.0,0.850,0.084751
100.0,0.850,0.168495
100.0,0.850,0.017393
100.0,0.850,0.009599
100.0,0.850,0.101447
100.0,0.850,0.052708
100.0,0.850,0.013482
100.0,0.850,0.247476
100.0,0.850,-0.207928
100.0,0.850,-0.142515
100.0,0.850,0.229194
100.0,0.850,-0.216160
100.0,0.850,0.142554
100.0,0.850,-0.011281
100.0,0.850,-0.035974
100.0,0.850,0.104214
100.0,0.850,0.023499
100.0,0.850,0.026798
100.0,0.850,-0.089732
100.0,0.850,0.058503
100.0,0.850,0.072113
100.0,0.850,0.017227
100.0,0.850,-0.032392
100.0,0.850,-0.015678
100.0,0.850,0.254557
100.0,0.850,0.059221
100.0,0.850,-0.020758
100.0,0.850,0.129684
100.0,0.850,0.117602
100.0,0.850,0.106335
100.0,0.850,-0.124023
100.0,0.850,0.045232
100.0,0.850,0.423693
100.0,0.850,-0.173578
100.0,0.850,-0.079041
100.0,0.850,-0.151747
100.0,0.850,-0.026783
100.0,0.850,0.120330
100.0,0.850,0.247692
100.0,0.850,-0.219330
100.0,0.850,-0.140990
100.0,0.850,-0.141039
100.0,0.850,-0.165649
100.0,0.850,-0.043518
100.0,0.850,0.249755
100.0,0.850,-0.048726
100.0,0.850,0.277518
100.0,0.850,-0.131084
100.0,0.850,0.063719
100.0,0.850,0.023754
100.0,0.850,0.291516
100.0,0.850,0.055551
100.0,0.850,-0.113924
100.0,0.850,-0.124715
100.0,0.850,0.045039
100.0,0.850,-0.028897
100.0,0.850,0.133414
100.0,0.850,0.013597
100.0,0.850,0.047105
100.0,0.850,-0.119057
100.0,0.850,-0.151394
100.0,0.850,0.030373
100.0,0.850,0.035036
100.0,0.850,-0.013686
100.0,0.850,-0.073185
100.0,0.850,0.010430
100.0,0.850,-0.188495
100.0,0.850,0.181474
100.0,0.850,-0.126430
100.0,0.850,-0.053104
100.0,0.850,0.267772
100.0,0.850,0.066878
100.0,0.850,0.197039
100.0,0.850,-0.059178
100.0,0.850,0.021034
100.0,0.850,0.076148
100.0,0.850,-0.038439
100.0,0.850,0.111949
100.0,0.850,-0.042946
100.0,0.850,-0.152698
100.0,0.850,0.104111
100.0,0.850,-0.073681
100.0,0.850,-0.140341
100.0,0.850,-0.044201
100.0,0.850,0.222692
100.0,0.850,-0.057750
100.0,0.850,0.211618
100.0,0.850,-0.079185
100.0,0.850,0.033293
100.0,0.850,0.165171
100.0,0.850,-0.069606
100.0,0.850,-0.066444
100.0,0.850,-0.025389
100.0,0.850,0.004474
100.0,0.850,-0.079916
100.0,0.850,-0.085431
100.0,0.850,-0.049435
100.0,0.850,0.336342
100.0,0.850,0.146477
100.0,0.850,0.091180
100.0,0.903,0.142416
100.0,0.903,-0.033019
100.0,0.903,0.489670
100.0,0.903,0.237939
100.0,0.903,0.295454
100.0,0.903,-0.040702
100.0,0.903,0.109316
100.0,0.903,0.015149
100.0,0.903,0.156543
100.0,0.903,0.230002
100.0,0.903,0.207389
100.0,0.903,0.455887
100.0,0.903,0.108379
100.0,0.903,0.195203
100.0,0.903,-0.018016
100.0,0.903,-0.035387
100.0,0.903,0.267646
100.0,0.903,-0.047808
100.0,0.903,0.498365
100.0,0.903,0.457963
100.0,0.903,0.271273
100.0,0.903,-0.175439
100.0,0.903,0.102290
100.0,0.903,0.633016
100.0,0.903,0.090040
100.0,0.903,-0.037208
100.0,0.903,0.350576
100.0,0.903,-0.170203
100.0,0.903,0.139495
100.0,0.903,0.433155
100.0,0.903,0.042120
100.0,0.903,-0.038067
100.0,0.903,0.344660
100.0,0.903,-0.225206
100.0,0.903,0.338952
