tau,T,success_rate
88586.67904100832,2636.650898730358,0.0
88586.67904100832,4281.332398719395,0.0
88586.67904100832,6951.927961775606,0.0
88586.67904100832,11288.378916846883,0.0
88586.67904100832,18329.807108324374,0.0
88586.67904100832,29763.51441631319,0.0
88586.67904100832,48329.30238571752,0.0
88586.67904100832,78475.99703514607,0.0
88586.67904100832,127427.49857031347,0.0
88586.67904100832,206913.808111479,0.0
88586.67904100832,335981.8286283781,0.0
88586.67904100832,545559.4781168514,0.0
88586.67904100832,885866.7904100833,0.0
88586.67904100832,1.438449888287663e6,0.0
88586.67904100832,2.3357214690901213e6,0.0
88586.67904100832,3.792690190732246e6,0.0
88586.67904100832,6.158482110660267e6,0.0
88586.67904100832,1.0e7,0.0
162377.67391887208,1000.0,0.0
162377.67391887208,1623.7767391887226,0.0
162377.67391887208,2636.650898730358,0.0
162377.67391887208,4281.332398719395,0.0
162377.67391887208,6951.927961775606,0.0
162377.67391887208,11288.378916846883,0.0
162377.67391887208,18329.807108324374,0.0
162377.67391887208,29763.51441631319,0.0
162377.67391887208,48329.30238571752,0.0
162377.67391887208,78475.99703514607,0.0
162377.67391887208,127427.49857031347,0.0
162377.67391887208,206913.808111479,0.0
162377.67391887208,335981.8286283781,0.0
162377.67391887208,545559.4781168514,0.0
162377.67391887208,885866.7904100833,0.0
162377.67391887208,1.438449888287663e6,0.0
162377.67391887208,2.3357214690901213e6,0.0
162377.67391887208,3.792690190732246e6,0.0
162377.67391887208,6.158482110660267e6,0.0
162377.67391887208,1.0e7,0.0
297635.14416313195,1000.0,0.0
297635.14416313195,1623.7767391887226,0.0
297635.14416313195,2636.650898730358,0.0
297635.14416313195,4281.332398719395,0.0
297635.14416313195,6951.927961775606,0.0
297635.14416313195,11288.378916846883,0.0
297635.14416313195,18329.807108324374,0.0
297635.14416313195,29763.51441631319,0.0
297635.14416313195,48329.30238571752,0.0
297635.14416313195,78475.99703514607,0.0
297635.14416313195,127427.49857031347,0.0
297635.14416313195,206913.808111479,0.0
297635.14416313195,335981.8286283781,0.0
297635.14416313195,545559.4781168514,0.0
297635.14416313195,885866.7904100833,0.0
297635.14416313195,1.438449888287663e6,0.0
297635.14416313195,2.3357214690901213e6,0.0
297635.14416313195,3.792690190732246e6,0.0
297635.14416313195,6.158482110660267e6,0.0
297635.14416313195,1.0e7,0.0
545559.4781168514,1000.0,0.0
545559.4781168514,1623.7767391887226,0.0
545559.4781168514,2636.650898730358,0.0
545559.4781168514,4281.332398719395,0.0
545559.4781168514,6951.927961775606,0.0
545559.4781168514,11288.378916846883,0.0
545559.4781168514,18329.807108324374,0.0
545559.4781168514,29763.51441631319,0.0
545559.4781168514,48329.30238571752,0.0
545559.4781168514,78475.99703514607,0.0
545559.4781168514,127427.49857031347,0.0
545559.4781168514,206913.808111479,0.0
545559.4781168514,335981.8286283781,0.0
545559.4781168514,545559.4781168514,0.0
545559.4781168514,885866.7904100833,0.0
545559.4781168514,1.438449888287663e6,0.0
545559.4781168514,2.3357214690901213e6,0.0
545559.4781168514,3.792690190732246e6,0.0
545559.4781168514,6.158482110660267e6,0.0
